name,detector type,wavelength units,central wavelength,pivot wavelength,effective wavelength,Vega mag,Vega flux,Vega Jy,AB mag,AB flux,AB Jy,ST mag,ST flux,ST Jy
SDSS_g,photon,AA,4718.872,4702.495,4640.422,20.66307,5.4297e-09,4005.1,20.76959,4.9223e-09,3630.8,21.10000,3.6308e-09,2678.2
SDSS_i,photon,AA,7499.704,7489.977,7439.503,22.13614,1.3981e-09,2616.3,21.78035,1.9403e-09,3630.8,21.10000,3.6308e-09,6794.2
SDSS_r,photon,AA,6185.194,6175.579,6122.329,21.50373,2.5033e-09,3184.5,21.36134,2.8541e-09,3630.8,21.10000,3.6308e-09,4618.9
SDSS_u,photon,AA,3561.789,3556.524,3594.930,21.08761,3.6725e-09,1549.5,20.16308,8.6054e-09,3630.8,21.10000,3.6308e-09,1531.9
SDSS_z,photon,AA,8961.488,8946.710,8897.064,22.68414,8.44e-10,2253.5,22.16626,1.3599e-09,3630.8,21.10000,3.6308e-09,9694.1
SPITZER_IRAC_36,photon,AA,35634.294,35569.271,35134.320,27.94840,6.6167e-12,279.24,25.16332,8.6034e-11,3630.8,21.10000,3.6308e-09,1.5322e+05
SPITZER_IRAC_45,photon,AA,45110.142,45020.220,44425.741,28.93308,2.6716e-12,180.62,25.67499,5.3704e-11,3630.8,21.10000,3.6308e-09,2.4547e+05
SPITZER_IRAC_58,photon,AA,57593.368,57450.414,56473.379,29.95506,1.0423e-12,114.75,26.20441,3.2979e-11,3630.8,21.10000,3.6308e-09,3.9973e+05
SPITZER_IRAC_80,photon,AA,79594.931,79157.671,76171.453,31.29195,3.0424e-13,63.59,26.90041,1.7371e-11,3630.8,21.10000,3.6308e-09,7.5887e+05
STROMGREN_b,energy,angstrom,4669.008,4666.246,4663.261,20.59817,5.7641e-09,4186.5,20.75279,4.999e-09,3630.8,21.10000,3.6308e-09,2637
STROMGREN_u,energy,angstrom,3450.559,3443.598,3447.508,21.23785,3.1979e-09,1264.9,20.09301,9.179e-09,3630.8,21.10000,3.6308e-09,1436.2
STROMGREN_v,energy,angstrom,4109.396,4105.462,4110.367,20.34075,7.3063e-09,4107.7,20.47476,6.458e-09,3630.8,21.10000,3.6308e-09,2041.3
STROMGREN_y,energy,angstrom,5478.026,5475.171,5472.420,21.10526,3.6132e-09,3613,21.09994,3.631e-09,3630.8,21.10000,3.6308e-09,3630.6
SkyMapper_g,photon,AA,5099.437,5075.194,4968.459,20.87295,4.4753e-09,3845.1,20.93521,4.2259e-09,3630.8,21.10000,3.6308e-09,3119.5
SkyMapper_i,photon,AA,7778.375,7767.976,7712.938,22.26025,1.2471e-09,2510.1,21.85949,1.8039e-09,3630.8,21.10000,3.6308e-09,7307.9
SkyMapper_r,photon,AA,6157.284,6138.440,6040.059,21.47589,2.5683e-09,3228,21.34824,2.8887e-09,3630.8,21.10000,3.6308e-09,4563.5
SkyMapper_u,photon,AA,3496.616,3493.359,3498.153,21.22515,3.2355e-09,1317.1,20.12416,8.9194e-09,3630.8,21.10000,3.6308e-09,1478
SkyMapper_v,photon,AA,3837.712,3835.928,3870.928,20.63074,5.5937e-09,2745.5,20.32730,7.3974e-09,3630.8,21.10000,3.6308e-09,1782.1
SkyMapper_z,photon,AA,9161.712,9145.993,9091.502,22.73990,8.0175e-10,2237.1,22.21410,1.3012e-09,3630.8,21.10000,3.6308e-09,10131
TESS,energy,angstrom,7972.361,7697.603,7455.640,22.18148,1.3409e-09,2650.3,21.83973,1.837e-09,3630.8,21.10000,3.6308e-09,7176.1
TYCHO_B_MvB,energy,angstrom,4220.390,4194.961,4219.757,20.45302,6.5886e-09,3867.5,20.52159,6.1854e-09,3630.8,21.10000,3.6308e-09,2131.3
TYCHO_V_MvB,energy,angstrom,5352.167,5300.185,5258.010,21.00968,3.9458e-09,3697.4,21.02940,3.8747e-09,3630.8,21.10000,3.6308e-09,3402.2
WISE_RSR_W1,photon,um,3.379,3.368,3.292,27.71042,8.2382e-12,311.75,25.04495,9.5944e-11,3630.8,21.10000,3.6308e-09,1.374e+05
WISE_RSR_W2,photon,um,4.629,4.618,4.542,29.03535,2.4314e-12,172.95,25.73018,5.1042e-11,3630.8,21.10000,3.6308e-09,2.5827e+05
WISE_RSR_W3,photon,um,12.334,12.073,10.302,32.95638,6.5682e-14,31.934,27.81703,7.4677e-12,3630.8,21.10000,3.6308e-09,1.7653e+06
WISE_RSR_W4,photon,um,22.253,22.194,21.810,35.75375,4.9946e-15,8.2066,29.13916,2.2097e-12,3630.8,21.10000,3.6308e-09,5.9657e+06
ZTF_g,photon,nanometer,480.482,478.945,472.280,20.70229,5.237e-09,4007.1,20.80937,4.7452e-09,3630.8,21.10000,3.6308e-09,2778.1
ZTF_i,photon,nanometer,796.822,795.493,788.608,22.34125,1.1574e-09,2443.2,21.91113,1.7201e-09,3630.8,21.10000,3.6308e-09,7663.9
ZTF_r,photon,nanometer,643.692,642.117,633.959,21.62698,2.2346e-09,3073.4,21.44602,2.6399e-09,3630.8,21.10000,3.6308e-09,4993.5
